Business Name,Address,Phone,Website,Email,City,State,Services
Rejuvenation MD NYC,"635 Madison Ave, New York, NY 10022",(212) 653-0366,rejuvenationmdnyc.com,,New York,NY,"Botox, Fillers, Medical Spa Services"
Skinova Medspa,"56 E 34th St, New York, NY 10016",,skinovamedspa.com,,New York,NY,"Medical Spa Services"
Nuansa Spa,"330 East 76th St, New York, NY 10021",,nuansaspa.com,,New York,NY,"Medical Spa Services"
Next Health,"115 Broadway, New York, NY 10006",,next-health.com,,New York,NY,"IV Therapy, Wellness Services"
Plump Cosmetics & Injectables,"767 Lexington Ave, New York, NY 10065",,plumpcosmetics.com,,New York,NY,"Injectables, Cosmetic Services"
Center Aesthetic & Dermatology,"109 E 36th St, New York, NY 10016",,centeraestheticdermatology.com,,New York,NY,"Dermatology, Medical Spa"
Good Face,"30-16 30th Dr, New York, NY 11102",,goodface.com,,New York,NY,"Medical Spa Services"
Ever/Body SoHo,"232 Sherman Ave, New York, NY 10034",,everbody.com,,New York,NY,"Body Treatments, Medical Spa"
Peachy Brooklyn Heights,"634 Richmond St, Brooklyn, NY 11222",,hiipeachy.com,,Brooklyn,NY,"Preventative Botox, Skincare"
Lumena Aesthetics,"2223 N Westshore Blvd, Tampa, FL 33607",,lumenaesthetics.com,,Tampa,FL,"Medical Spa Services"
Perfect Med Spa,"109 E 36th St, New York, NY 10016",(212) 889-2100,perfectmedspa.com,,New York,NY,"Botox, Fillers, Medical Spa"
Faces Med Spa,"767 Lexington Ave, New York, NY 10065",(212) 888-9200,facesmedspa.com,,New York,NY,"Botox, Juvederm, Chemical Peels"
Anand Medical Spa,"635 Madison Ave, New York, NY 10022",(212) 653-0366,anandmedicalspa.com,,New York,NY,"Botox, Fillers, Ultherapy"
Trifecta Med Spa Downtown,"115 Broadway, New York, NY 10006",(212) 233-2919,trifectamedspa.com,,New York,NY,"Medical Spa Services"
Manhattan Laser Spa,"56 E 34th St, New York, NY 10016",(212) 229-1188,manhattanlaserspa.com,,New York,NY,"Laser Treatments, Hair Removal"
Dr. Naida Medical Spa,"30-16 30th Dr, New York, NY 11102",(718) 689-1900,drnaidamedicalspa.com,,Queens,NY,"Laser Procedures, Skincare"
Upkeep,"330 East 76th St, New York, NY 10021",(646) 919-4601,joinupkeep.com,,New York,NY,"Aesthetics, Medical Spa"
Skin Center NY,"37 W 26th St, New York, NY 10010",(212) 889-5510,skincenterny.com,,New York,NY,"Facials, Skincare"
Sandra Velandia,"2500 Nesconset Hwy, Building 16, Stony Brook, NY 11790",,sandravelandia.com,,Queens,NY,"Medical Spa Services"
Eunyoung Park Aesthetics,"35 W 32nd St #201, New York, NY 10001",,eunyoungpark.com,,New York,NY,"Korean Medical Spa"
Dolce Aesthetics,"3045 Nostrand Ave, Brooklyn, NY 11229",(718) 336-1111,dolceaestheticsny.com,,Brooklyn,NY,"Medical Spa Services"
LaserAway,"Multiple Locations, NY",(888) 965-2737,laseraway.com,,New York,NY,"Laser Hair Removal, Skincare"
Skin Solutions New York,"111 E 61st St, New York, NY 10065",(212) 750-2020,skinsolutions.com,,New York,NY,"Medical Spa Services"
re-nu Rejuvenation & Wellness,"43-15 Queens Blvd, Sunnyside, NY 11104",(718) 866-7368,renurejuvenation.com,,Queens,NY,"Wellness, Medical Spa"
Prime Medispa,"1511 Voorhies Ave, Brooklyn, NY 11235",(718) 616-1157,primemedispa.com,,Brooklyn,NY,"Medical Spa Services"
Briarwood Wellness Center,"132-17 Hillside Ave, Richmond Hill, NY 11418",(718) 526-2225,briarwoodwellness.com,,Queens,NY,"Wellness, Medical Spa"
Brooklyn Medical Spa,"1601 Kings Hwy, Brooklyn, NY 11229",(347) 673-7070,brooklynmedicalspa.com,,Brooklyn,NY,"Medical Spa Services"
North Shore Med Spa,"600 Northern Blvd, Suite 301, Great Neck, NY 11021",(516) 441-5110,northshorems.com,,Nassau County,NY,"Botox, Fillers, Body Contouring"
J Spa Medical Spa,"1991 Marcus Ave, Suite M-103, Lake Success, NY 11042",(516) 487-5200,jspamedspa.com,,Nassau County,NY,"Facial Rejuvenation, Non-surgical"
Deep Blue Med Spa,"864 W. Jericho Turnpike, Huntington, NY 11743",(631) 423-1000,deepbluemedspa.com,,Suffolk County,NY,"Body Contouring, Injectables"
Visage' Medispa,"150 Main Street, East Setauket, NY 11733",(631) 689-2020,visagemedispa.com,,Suffolk County,NY,"Anti-aging, Skin Care"
Spa Belle Meade,"2 Medical Drive, Port Jefferson Station, NY 11776",(631) 509-0019,spabellemeade.com,,Suffolk County,NY,"Medical Spa Services"
Skin Spirit Roslyn Heights,"2 Tower Place, Roslyn Heights, NY 11577",(516) 621-4400,skinspirit.com,,Nassau County,NY,"Botox, Fillers, Facials"
Venus Med Spa,"2223 N Westshore Blvd, Tampa, FL 33607",(813) 873-7702,venusmedspa.com,,Tampa,FL,"Botox, Fillers, Lasers"
Cosmetica Med Spa,"4400 N Federal Hwy, Boca Raton, FL 33431",(561) 999-0999,cosmeticamedspa.com,,Boca Raton,FL,"Micro-needling, PRP, Botox"
Amaira Med Spa,"1213 East Las Olas Blvd, Fort Lauderdale, FL 33301",(954) 533-9822,amairamedspa.com,,Fort Lauderdale,FL,"Medical Spa Services"
Boca Med Spa,"600 S Dixie Hwy, Boca Raton, FL 33432",(561) 394-3088,bocamedspa.com,,Boca Raton,FL,"Body Contouring, Skin Tightening"
Aesthetics Med Spa Miami,"14331 SW 120th St, Miami, FL 33186",(305) 412-4100,aestheticsmedspami.com,,Miami,FL,"Medical Spa Services"
Oasis Med Spa,"990 SE Indian St, Stuart, FL 34997",(772) 287-5200,oasismedspa.com,,Stuart,FL,"Injectables, Medical Spa"
Elase Med Spa Town Center,"10131 Town Center Blvd #113, Jacksonville, FL 32246",(904) 999-0977,elase.com,,Jacksonville,FL,"Medical Spa Services"
Skin NV Tampa,"2223 N Westshore Blvd #112, Tampa, FL 33607",(813) 873-7702,skinnv.com,,Tampa,FL,"Botox, Fillers, Lasers"
Tre MedSpa,"11013 Countryway Blvd, Tampa, FL 33626",(813) 749-0918,tremedspa.com,,Tampa,FL,"Botox, Facials, Medical Spa"
Aspire MedSpa & Beauty Bar,"12932 N. Dale Mabry Hwy, Tampa, FL 33618",(813) 510-0770,aspiremedspas.com,,Tampa,FL,"Botox, Fillers, Non-Surgical BBL"
Tao Wellness Med Spa,"4107 W Kennedy Blvd, Tampa, FL 33609",(813) 877-8807,taowellnessmedspa.com,,Tampa,FL,"Injectables, Massage, Facials"
VIO Med Spa Jacksonville,"12620 Beach Blvd #5, Jacksonville, FL 32246",(904) 999-0055,viomedspa.com,,Jacksonville,FL,"Facials, Botox, Fillers"
Halo Salt Skin Spa,"1907 W Kennedy Blvd, Tampa, FL 33606",(813) 251-8707,halosaltskinspa.com,,Tampa,FL,"Medical Spa, Salt Therapy"
The Garden Medical Spa,"2701 N Rocky Point Dr #105, Tampa, FL 33607",(813) 443-0074,thegardenmedspa.com,,Tampa,FL,"Medical Spa, Massage, Wellness"
Erasable Med Spa,"10409 N Florida Ave, Tampa, FL 33612",(813) 444-1011,erasablemedspa.com,,Tampa,FL,"Medical Spa Services"
Premier Medical Spa Jacksonville,"11512 Lake Mead Ave #901, Jacksonville, FL 32256",(904) 997-0100,premiermedicalspa.com,,Jacksonville,FL,"Medical Spa Services"
Fusion MediSpa,"18040 N Dale Mabry Hwy, Lutz, FL 33548",(813) 265-6686,fusionmedispa.net,,Tampa,FL,"Skincare, Fat Loss, Wellness"
SOHO Wellness & Med Spa,"1903 S MacDill Ave, Tampa, FL 33629",(813) 254-2500,soho-wellness.com,,Tampa,FL,"Facials, Botox, Fillers"
Glowmour Beauty Medispa,"1416 N Westshore Blvd #204, Tampa, FL 33607",(813) 443-4811,glowmourbeauty.com,,Tampa,FL,"Laser Hair Removal, Facials"
Coastal Dermatology & Medspa,"2804 St Johns Bluff Rd S, Jacksonville, FL 32246",(904) 727-9123,coastaldermatologyjax.com,,Jacksonville,FL,"Dermatology, Medical Spa"
Manhattan MedSpa,"36 W 44th St, New York, NY 10036",(212) 256-1180,manhattan-medspa.com,,New York,NY,"Skin Care, Medical Spa"
Tribeca MedSpa,"111 Broadway, 2nd Floor, New York, NY 10006",(212) 637-0945,tribecamedspa.com,,New York,NY,"Botox, Facials, Skin Tightening"
Dennis Gross Dermatology,"142 E 71st St, New York, NY 10021",(212) 794-4000,dennisgrossmd.com,,New York,NY,"Medical Spa, Dermatology"
Spa Above,"1890 Richmond Rd, Staten Island, NY 10306",(718) 979-8900,drcutolo.com/medical-spa,,Staten Island,NY,"Luxury Medical Spa"
BeautyFix MedSpa,"175 5th Ave #2606, New York, NY 10010",(212) 366-4787,beautyfixmedspa.com,,New York,NY,"Body Contouring, Lip Augmentation"
Barba Skin Clinic,"2161 Coral Way, Miami, FL 33145",(305) 860-2340,barbaskinclinic.com,,Miami,FL,"Medical Spa Services"
Perfect B Aesthetic Medicine,"801 Arthur Godfrey Rd #201, Miami Beach, FL 33140",(305) 763-8885,perfectb.com,,Miami Beach,FL,"Aesthetic Medicine"
Avalon Medical Spa,"2901 Collins Ave #101, Miami Beach, FL 33140",(305) 779-3376,avalonmedspa.com,,Miami Beach,FL,"Medical Spa Services"
Dermalaser Med Spa,"1001 S Miami Ave #200, Miami, FL 33130",(305) 579-9777,dermalasermedspa.com,,Miami,FL,"Laser Treatments, Medical Spa"
The Parlour,"3900 NW 79th Ave #500, Doral, FL 33166",(305) 456-7373,theparlourmiami.com,,Miami,FL,"Medical Spa Services"
Be Beautiful Aesthetic Medicine,"7373 SW 107th Ave #201, Miami, FL 33173",(305) 595-7272,bebeautifulmiami.com,,Miami,FL,"Aesthetic Medicine"
Rejuvaline Medspa,"11714 SW 88th St, Miami, FL 33186",(305) 271-1114,rejuvalinemedspa.com,,Miami,FL,"Medical Spa Services"
Aromas Medspa at Doral,"1671 NW 107th Ave, Doral, FL 33172",(305) 477-1464,aromasmedspa.com,,Doral,FL,"Medical Spa Services"
Med Aesthetics Miami,"2701 Ponce de Leon Blvd, Coral Gables, FL 33134",(305) 446-7821,medaestheticsmiami.com,,Coral Gables,FL,"Wellness, Aesthetic Center"
Monaco MedSpa,"36 NE 1st St #100, Miami, FL 33132",(305) 379-0200,monacomedspa.com,,Miami,FL,"Medical Spa, Facial, Day Spa"
Brickell Cosmetic Center,"1001 Brickell Bay Dr #1904, Miami, FL 33131",(786) 888-6476,brickellcosmetic.com,,Miami,FL,"Dermal Fillers, Botox, Laser"
Icon Cosmetic Center,"1475 NW 12th Ave #200, Miami, FL 33136",(305) 209-9299,iconcosmeticcenter.com,,Miami,FL,"Cosmetic Surgery Center"
Miami Aesthetic Center,"848 Brickell Ave STE 820, Miami, FL 33131",(305) 576-3443,miamiaesthetic.com,,Miami,FL,"Plastic Surgery, Medical Spa"
CMA Medical Spa,"650 NW 120th St, North Miami, FL 33168",(786) 746-6464,cmamiami.com,,North Miami,FL,"Beauty, Anti-Aging Services"
Glow Aesthetics Miami,"6280 Sunset Dr #600, South Miami, FL 33143",(786) 822-1105,glowaestheticsmiami.com,,Miami,FL,"Botox, Fillers, Sculptra"
Unique Aesthetic Center Miami,"4950 SW 8th St #202, Coral Gables, FL 33134",(305) 456-7825,uniqueaestheticcenter.com,,Miami,FL,"Aesthetic Transformations"
Sisu Clinic Miami,"1111 Lincoln Rd #400, Miami Beach, FL 33139",(786) 800-1510,sisuclinic.com,,Miami Beach,FL,"Botox, Dermal Fillers"
Vida & Co,"8932 SW 107th Ave #205, Miami, FL 33176",(305) 596-0305,vidaandco.net,,Miami,FL,"Beauty Clinic, Non-invasive"
SkinLab Miami by Barba Skin Clinic,"3015 Grand Ave #300, Miami, FL 33133",(305) 860-2340,skinlabmiami.com,,Miami,FL,"Medical Spa"
Miami Skin Spa,"1250 S Miami Ave #801, Miami, FL 33130",(305) 400-1181,miamiskinspa.com,,Miami,FL,"Skin Rejuvenation, Body Sculpting"
Beyond Health MedSpa,"1401 Brickell Ave #320, Miami, FL 33131",(786) 359-4068,beyondhealthmedspa.com,,Miami,FL,"Aesthetic, Wellness Treatments"
Miami Medical Spa,"1590 NE 162nd St, North Miami Beach, FL 33162",(305) 944-1122,miamimedicalspa.com,,North Miami Beach,FL,"Medical Spa Services"
New Radiance Fort Lauderdale,"1625 SE 3rd Ave #800, Fort Lauderdale, FL 33316",(954) 763-5900,newradiancenow.com,,Fort Lauderdale,FL,"Med Spa, Cosmetic Surgery"
New Radiance Boca Raton,"5458 Town Center Rd #11, Boca Raton, FL 33486",(561) 394-3088,newradiancenow.com,,Boca Raton,FL,"Med Spa, Cosmetic Surgery"
New Radiance Palm Beach Gardens,"4600 PGA Blvd #100, Palm Beach Gardens, FL 33418",(561) 776-0116,newradiancenow.com,,Palm Beach Gardens,FL,"Med Spa, Cosmetic Surgery"
New Radiance Wellington,"13860 Wellington Trace #15, Wellington, FL 33414",(561) 792-6669,newradiancenow.com,,Wellington,FL,"Med Spa, Cosmetic Surgery"
Eden Plastic Surgery Institute,"4950 SW 8th St, Miami, FL 33134",(305) 456-2774,edenplasticsurgery.com,,Miami,FL,"Med Spa Treatments"
Hochstein MedSpa,"4950 SW 8th St, Coral Gables, FL 33134",(305) 931-3086,lhochsteinmd.com,,Coral Gables,FL,"Medical Spa Services"
Ageless Medical,"2921 E Commercial Blvd #201, Fort Lauderdale, FL 33308",(954) 776-7177,agelessmedical.com,,Fort Lauderdale,FL,"Medical Spa Services"
Royalty Care Med Spa,"7401 W Sample Rd #101, Coral Springs, FL 33065",(954) 755-9229,royaltycaremedpa.com,,Coral Springs,FL,"Medical Spa Services"
Introlift Medical Spa,"1825 Corporate Blvd NW #401, Boca Raton, FL 33431",(561) 756-7667,introlift.com,,Boca Raton,FL,"Medical Spa Services"
NU-U Med Spa,"10040 W State Rd 84 #250, Davie, FL 33324",(954) 217-2767,nu-umedspa.com,,Davie,FL,"Medical Spa Services"
The Vera Medical Institute,"2000 S Dixie Hwy #103, Miami, FL 33133",(305) 856-5405,veramedicalinstitute.com,,Miami,FL,"Medical Spa Services"
Weston Med Spa & Cosmetic Surgery,"2823 Executive Park Dr #101, Weston, FL 33331",(954) 987-5806,westonmedspa.com,,Weston,FL,"Med Spa, Cosmetic Surgery"
Suria Plastic Surgery,"8940 N Kendall Dr #903E, Miami, FL 33176",(305) 595-2969,suriaplasticsurgery.com,,Miami,FL,"Plastic Surgery, Med Spa"
XS Med Spa,"1750 N University Dr, Pembroke Pines, FL 33024",(954) 437-5333,xsmedspa.com,,Pembroke Pines,FL,"Medical Spa Services"
Health and MedSpa,"3919 Tampa Rd, Oldsmar, FL 34677",(813) 443-0074,healthandmedspa.com,,Oldsmar,FL,"Medical Spa, Aesthetic Skin Care"
Radiance MedSpa,"580 Belleair Rd, Clearwater, FL 33756",(727) 441-1000,radiancemedspa.com,,Clearwater,FL,"Medical Spa Services"
Aqua Medical Spa,"2200 N Federal Hwy, Boca Raton, FL 33431",(877) 563-3772,aquamedicalspa.com,,Boca Raton,FL,"Cosmetic Dermatology"
Body Works Day Spa,"222 Jericho Turnpike, Syosset, NY 11791",(516) 921-1900,bodyworksdayspa.com,,Nassau County,NY,"Day Spa, Medical Services"
Smooth Generation Skin Spa & Laser,"4250 Hempstead Turnpike, Bethpage, NY 11714",(516) 935-0135,smoothgeneration.com,,Nassau County,NY,"Laser, Skin Spa"
Radiant Skin and Laser Center,"101 Northern Blvd, Great Neck, NY 11021",(516) 487-2477,radiantskinandlaser.com,,Nassau County,NY,"Laser Center, Medical Spa"
Red Hots Spa,"20 Roslyn Ave, Sea Cliff, NY 11579",(516) 676-4800,redhotsspa.com,,Nassau County,NY,"Day Spa Services"
Yeung Studios,"1129 Northern Blvd #404, Manhasset, NY 11030",(516) 472-9100,yeungstudios.com,,Nassau County,NY,"Medical Spa Services"
Glowbar Roslyn,"1499 Old Northern Blvd, Roslyn, NY 11576",(516) 484-0348,glowbar.com,,Nassau County,NY,"Facials, Skincare"
Studio Esthetique,"123 Main St, White Plains, NY 10601",(914) 997-8000,studioesthetique.com,,Westchester,NY,"Medical Spa Services"
Greenwich Medical Spa - Scarsdale,"520 White Plains Rd, Scarsdale, NY 10583",(914) 723-8000,greenwichmedicalspa.com,,Westchester,NY,"Medical Spa Services"
StudioMD,"1 N Broadway #409, White Plains, NY 10601",(914) 831-5000,studiomdny.com,,Westchester,NY,"Medical Spa Services"
Skinjava Medical Spa,"333 Westchester Ave, White Plains, NY 10604",(914) 368-6609,skinjava.com,,Westchester,NY,"Medical Spa Services"
Sedora Medical Spa,"500 Mamaroneck Ave, Harrison, NY 10528",(914) 777-1900,sedoramedicalspa.com,,Westchester,NY,"Medical Spa Services"
LECADA Medical Spa,"3001 N Rocky Point Dr E #200, Tampa, FL 33607",(813) 877-2500,lecadamedicalspa.com,,Tampa,FL,"Medical Spa Services"
Aesthetics Lab,"2615 W Swann Ave, Tampa, FL 33609",(813) 877-6647,aestheticslabtampa.com,,Tampa,FL,"Medical Spa Services"
Perfectly Bare Laser,"4830 W Kennedy Blvd #690, Tampa, FL 33609",(813) 286-7376,perfectlybarelaser.com,,Tampa,FL,"Laser Hair Removal"
Faces of South Tampa,"3906 W Swann Ave, Tampa, FL 33609",(813) 831-4400,facesofsouthtampa.com,,Tampa,FL,"Medical Spa Services"
Anthony Loren SkinCenter,"3503 W Swann Ave, Tampa, FL 33609",(813) 877-8067,anthonyloren.com,,Tampa,FL,"Skin Center, Medical Spa"
Castellano Cosmetic Surgery Center,"3004 W Azeele St, Tampa, FL 33609",(813) 872-6093,castellanocosmeticsurgery.com,,Tampa,FL,"Cosmetic Surgery, Med Spa"
LUXE Aesthetics,"13014 N Dale Mabry Hwy #355, Tampa, FL 33618",(813) 280-9500,luxeaestheticstampa.com,,Tampa,FL,"Medical Spa Services"
S&J Med Spa,"3601 W Commercial Blvd, Oakland Park, FL 33309",(954) 532-5300,sjmedspa.com,,Oakland Park,FL,"Medical Spa Services"
Venus Med Spa Fort Lauderdale,"2414 E Sunrise Blvd, Fort Lauderdale, FL 33304",(954) 637-8450,venusmedspa.com,,Fort Lauderdale,FL,"Medical Spa Services"
Flawless Laser & Skin Spa,"200 E Colonial Dr, Orlando, FL 32801",(407) 745-1817,flawlesslaserspa.com,,Orlando,FL,"Laser Hair Removal, Skin Spa"
KUR Skin Lab,"131 Varick St, New York, NY 10013",(646) 490-2360,kurskinlab.com,,New York,NY,"Korean Medical Spa"
Genesys Laser Clinic,"119 W 23rd St #405, New York, NY 10011",(212) 627-1799,genesyslaserclinic.com,,New York,NY,"Laser Clinic"
Clear Laser City Clinic,"149 Madison Ave #200, New York, NY 10016",(212) 889-2020,clearlaserclinic.com,,New York,NY,"Laser Treatments"
Eden Day Spa,"47 W 13th St, New York, NY 10011",(212) 229-2220,edendayspa.com,,New York,NY,"Day Spa Services"
Slim Herbal,"36 E 23rd St, New York, NY 10010",(212) 673-2272,slimherbal.com,,New York,NY,"Wellness, Medical Spa"
Vspot,"180 Varick St #302, New York, NY 10014",(212) 810-8500,vspotmedispa.com,,New York,NY,"Medical Spa Services"
Clear Laser Skin & Body Clinic,"156 5th Ave #1130, New York, NY 10010",(212) 675-9200,clearlaserskinbody.com,,New York,NY,"Laser, Medical Spa"
RM Skincare,"30 E 60th St #805, New York, NY 10022",(212) 207-8088,rmskincare.com,,New York,NY,"Skincare, Medical Spa"
Beautiology Studio & Spa,"2420 Jericho Turnpike, Garden City Park, NY 11040",(516) 739-1100,beautiologyspa.com,,Nassau County,NY,"Studio, Spa Services"
The Body Bar,"400 Jericho Turnpike, Jericho, NY 11753",(516) 933-2889,thebodybarli.com,,Nassau County,NY,"Body Treatments"
Vita Medical Spa,"1 Hollow Ln #100, Lake Success, NY 11042",(516) 482-8040,vitamedicalspa.com,,Nassau County,NY,"Medical Spa Services"
Livingston Foot Care Specialists,"870 Hempstead Turnpike, Franklin Square, NY 11010",(516) 775-8440,livingstonfootcare.com,,Nassau County,NY,"Medi-Spa, Foot Care"
Eastern Breeze Spa,"1367 Old Northern Blvd, Roslyn, NY 11576",(516) 484-6666,easternbreezespa.com,,Nassau County,NY,"Luxury Day Spa, Salon"
Blue Water Spa,"440 Hempstead Ave, West Hempstead, NY 11552",(516) 292-2273,bluewaterspany.com,,Nassau County,NY,"Massage, Spa Services"
Elase Med Spa South Tampa,"3602 Henderson Blvd, Tampa, FL 33609",(813) 999-1110,elase.com,,Tampa,FL,"Medical Spa Services"
Elase Avondale,"3653 St Johns Ave, Jacksonville, FL 32205",(904) 372-9137,elase.com,,Jacksonville,FL,"Medical Spa Services"
Revivify Med Spa,"701 E Broward Blvd, Fort Lauderdale, FL 33301",(954) 613-2849,revivifymedspa.com,,Fort Lauderdale,FL,"Med Spa, Anti-Aging"
Mia Aesthetics Miami,"8500 SW 8th St #100, Miami, FL 33144",(833) 642-2377,miaaesthetics.com,,Miami,FL,"Plastic Surgery, Medical Spa"
Spectrum Aesthetics Miami,"2650 SW 27th Ave #105, Miami, FL 33133",(305) 860-2340,spectrum-aesthetics.com,,Miami,FL,"Plastic Surgery Clinic"
Boutinic Aesthetics,"8950 SW 74th Court #2201, Miami, FL 33156",(305) 504-8628,boutinicaesthetics.com,,Miami,FL,"Cosmetic Surgery Center"
L.G. Cosmetic Center,"1020 SW 27th Ave, Miami, FL 33135",(305) 446-7100,lgcosmeticcenter.com,,Miami,FL,"Cosmetic Center"
Advanced Aesthetic Wellness,"848 Brickell Ave #820, Miami, FL 33131",(305) 576-3443,advancedaestheticwellness.com,,Miami Beach,FL,"Aesthetic Wellness"
QC Spa New York,"Governors Island, 112 Andes Rd, New York, NY 11231",(646) 863-7258,qcny.com,,New York,NY,"Luxury Outdoor Spa"
World Spa,"160 96th St, Brooklyn, NY 11209",(718) 630-7000,worldspa.com,,Brooklyn,NY,"Spa Services"
Milady Medical Spa,"1616 Voorhies Ave #B, Brooklyn, NY 11235",(718) 375-4647,miladymedicalspa.com,,Brooklyn,NY,"Medical Spa Services"
SkinSpirit Tribeca,"125 Greenwich St, New York, NY 10006",(212) 203-7239,skinspirit.com,,New York,NY,"Medical Spa Services"
The Palms AVEDA Spa,"1001 Collins Ave, Miami Beach, FL 33139",(786) 755-5867,thepalmsavedaspa.com,,Miami Beach,FL,"Spa Services"
Carillon Miami Wellness Resort,"6801 Collins Ave, Miami Beach, FL 33141",(866) 800-3858,carillonhotel.com,,Miami Beach,FL,"Wellness Resort, Spa"
Mayo Clinic Florida,"4500 San Pablo Rd S, Jacksonville, FL 32224",(904) 953-2000,mayoclinic.org,,Jacksonville,FL,"Medical Services"
Nassau University Medical Center,"2201 Hempstead Turnpike, East Meadow, NY 11554",(516) 572-0123,numc.edu,,Nassau County,NY,"Medical Center"
Advanced Varicose Vein Treatments,"115 E 57th St #610, New York, NY 10022",(212) 204-6501,advancedvaricosevein.com,,New York,NY,"Vein Treatment, Medical"
Blonde Spa,"180 Varick St #512, New York, NY 10014",(212) 219-1990,blondespa.com,,New York,NY,"Spa Services"
Skin Spa New York - Back Bay,"199 Newbury St, Boston, MA 02116",(617) 267-1018,skinspa.com,,Boston,MA,"Medical Spa"
The Laser Skin Center,"317 Madison Ave #1402, New York, NY 10017",(212) 687-2096,laserkincenter.com,,New York,NY,"Laser Treatments"
Everbare,"Multiple Locations",(877) 382-7273,everbare.com,,Multiple,Multiple,"Hair Removal"
Milan Laser Hair Removal,"Multiple Locations",(833) 645-2648,milanlaser.com,,Multiple,Multiple,"Laser Hair Removal"
Cosmetic & Laser Center,"200 SW 1st St #250, Miami, FL 33130",(305) 374-1977,cosmeticlasercenter.com,,Miami,FL,"Cosmetic, Laser Services"
Electrolysis & Skin Care Clinic,"1842 Beacon St, Brookline, MA 02445",(617) 739-1124,electrolysisandkincareclinic.com,,Brookline,MA,"Electrolysis, Skin Care"
Medical Aesthetics on Tremont,"755 Tremont St, Boston, MA 02118",(617) 262-8844,medicalaestheticstremont.com,,Boston,MA,"Medical Aesthetics"
Center for Dermatology Cosmetic & Laser Surgery,"2557 Maitland Center Pkwy #300, Maitland, FL 32751",(407) 622-1787,centerforderm.com,,Maitland,FL,"Dermatology, Laser Surgery"
Associated Plastic Surgeons MedSpa,"864 W. Jericho Turnpike, Huntington, NY 11743",(631) 423-1000,associatedplasticsurgeons.com,,Suffolk County,NY,"Plastic Surgery, MedSpa"